epoch,loss,acc,val_loss,val_acc,network
85,0.0264,0.9955,0.1034,0.9858,no_pool_no_dropout
86,0.0265,0.9952,0.1112,0.9861,no_pool_no_dropout
87,0.0189,0.9966,0.0907,0.9892,no_pool_no_dropout
88,0.0174,0.9970,0.1092,0.9858,no_pool_no_dropout
89,0.0189,0.9966,0.1132,0.9856,no_pool_no_dropout
90,0.0194,0.9965,0.1061,0.9881,no_pool_no_dropout
91,0.0181,0.9965,0.0865,0.9897,no_pool_no_dropout
92,0.0191,0.9968,0.0941,0.9874,no_pool_no_dropout
93,0.0106,0.9977,0.0788,0.9899,no_pool_no_dropout
94,0.0194,0.9968,0.1529,0.9828,no_pool_no_dropout
95,0.0272,0.9951,0.1296,0.9843,no_pool_no_dropout
96,0.0271,0.9952,0.0955,0.9887,no_pool_no_dropout
97,0.0225,0.9965,0.1147,0.9867,no_pool_no_dropout
98,0.0126,0.9975,0.1009,0.9870,no_pool_no_dropout
99,0.0165,0.9971,0.1249,0.9850,no_pool_no_dropout
100,0.0153,0.9973,0.0949,0.9892,no_pool_no_dropout
1,1.3430,0.6277,0.3041,0.9313,pool_no_dropout
2,0.3202,0.9086,0.1640,0.9552,pool_no_dropout
3,0.1773,0.9498,0.0993,0.9770,pool_no_dropout
4,0.1238,0.9635,0.0915,0.9745,pool_no_dropout
5,0.0940,0.9731,0.0765,0.9813,pool_no_dropout
6,0.0810,0.9765,0.0721,0.9823,pool_no_dropout
7,0.0619,0.9819,0.0783,0.9788,pool_no_dropout
8,0.0570,0.9839,0.0643,0.9838,pool_no_dropout
9,0.0531,0.9847,0.0657,0.9837,pool_no_dropout
10,0.0532,0.9848,0.0586,0.9867,pool_no_dropout
11,0.0450,0.9869,0.0648,0.9858,pool_no_dropout
12,0.0393,0.9877,0.0541,0.9893,pool_no_dropout
13,0.0350,0.9897,0.0536,0.9884,pool_no_dropout
14,0.0302,0.9921,0.0584,0.9865,pool_no_dropout
15,0.0306,0.9912,0.0471,0.9907,pool_no_dropout
16,0.0317,0.9910,0.0604,0.9870,pool_no_dropout
17,0.0419,0.9891,0.0555,0.9885,pool_no_dropout
18,0.0292,0.9912,0.0599,0.9881,pool_no_dropout
19,0.0329,0.9912,0.0548,0.9888,pool_no_dropout
20,0.0258,0.9933,0.0964,0.9816,pool_no_dropout
21,0.0297,0.9922,0.0615,0.9875,pool_no_dropout
22,0.0250,0.9931,0.0554,0.9880,pool_no_dropout
23,0.0221,0.9942,0.0573,0.9894,pool_no_dropout
24,0.0211,0.9935,0.0606,0.9876,pool_no_dropout
25,0.0218,0.9943,0.0607,0.9883,pool_no_dropout
26,0.0184,0.9943,0.0488,0.9909,pool_no_dropout
27,0.0250,0.9938,0.0804,0.9823,pool_no_dropout
28,0.0287,0.9924,0.0722,0.9866,pool_no_dropout
29,0.0283,0.9920,0.0643,0.9885,pool_no_dropout
30,0.0253,0.9938,0.0694,0.9889,pool_no_dropout
31,0.0178,0.9945,0.0553,0.9901,pool_no_dropout
32,0.0131,0.9964,0.0522,0.9909,pool_no_dropout
33,0.0204,0.9953,0.0692,0.9881,pool_no_dropout
34,0.0220,0.9938,0.0582,0.9893,pool_no_dropout
35,0.0221,0.9939,0.0533,0.9898,pool_no_dropout
36,0.0214,0.9944,0.0675,0.9884,pool_no_dropout
